,CD_ID,Democrat,Republican,P_Democrat,P_Republican,Pop,Females,Median_Age,Veterans,White_People,Afr_Am_People,Asian,American_Ind_Alk_Ntv,Cuban_Origin,Puerto_Rican_Origin,Dominican_Origin,Mexican_Origin,Native_US,Foreign_Born,Children,Married_Households,Less_Highschool,Bachelor_Holders,Labor_Force_Eligible,Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Workers,Working_Agricult,Working_Construction,Working_Manufacturing,Working_Retail,Working_Transportation,Working_Finance,Working_Education,Working_Health,Working_Food,Working_Public_Admin,Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State_Full,State,Health_insurance_coverage,Turn_Out,Approval_Rate_Predecessor,Vote_2012,Vote_2016,Vote_2020,Ticket_CD_Demo
0,AK-AL,41.2,55.3,38.1,59.7,722718,349802,33.9,72407,482698,23143,37971,102293,1195,6009,2803,22300,656034,51603,188223,127277,37621,77153,377710,33367,67825,30234,73905,10651,0.4099,39.5,344343,17986,26934,11367,39385,23699,13756,34199,48163,22973,42229,6054,1049,"Congressional District (at Large) (112th Congress), Alaska",02,AL,Alaska,AK,79.9,0.529,49.05835157,297625.0,309407.0,321655.41083242337,122621.5
1,AL-01,37.4,61.8,38.5,60.9,693871,359855,38.6,60234,469202,195366,9227,7115,376,3238,0,9580,668746,21492,167610,126773,69476,64308,321306,36396,43144,23254,126778,5588,0.4623,40.9,284910,4287,21591,31112,40290,15519,15615,23265,41955,22290,11515,3893,755,"Congressional District 1 (112th Congress), Alabama",01,01,Alabama,AL,84.2,0.433,49.05835157,298837.066990987,303477.8817709956,308190.76646535326,111765.06305462914
2,AL-02,36.4,62.9,35,64.5,675534,347811,37.7,68750,433488,215736,5064,2849,262,2046,217,13471,652245,16292,160198,119050,82330,58075,310183,37370,40419,21170,135867,4262,0.4587,40.0,272813,5465,15896,31470,35065,17336,11124,23667,34396,17877,28220,2681,662,"Congressional District 2 (112th Congress), Alabama",01,02,Alabama,AL,85.6,0.433,49.05835157,289863.723675039,285663.5278349748,281524.19385396363,105510.3954177142
3,AL-03,36.8,62.3,36.6,62.6,683940,351660,36.9,56380,440065,220342,9253,1270,666,2137,0,11750,656872,19442,158004,120507,88222,55126,313770,40644,37885,19326,144305,4534,0.4660,39.5,273126,3824,15712,46422,31928,10220,11670,29150,34888,21199,20112,4267,663,"Congressional District 3 (112th Congress), Alabama",01,03,Alabama,AL,85.2,0.433,49.05835157,280127.856653036,288775.5709679925,297690.2453909746,103087.05124831725
4,AL-04,24,74.8,25.5,73.3,663272,339525,40.9,52913,598410,36302,2552,2731,627,776,311,31511,633455,26227,154906,138876,106112,36112,291316,33822,36842,20033,125404,4359,0.4644,42.0,257494,8049,16545,52235,30006,13758,9937,19927,34855,15786,11205,3831,558,"Congressional District 4 (112th Congress), Alabama",01,04,Alabama,AL,84.7,0.433,49.05835157,274505.264147322,290725.8764333476,307904.9703854747,65881.26339535728
5,AL-05,34.9,63.9,36.3,62.6,724822,369354,39.4,61224,548779,132512,9512,7204,395,2820,434,23212,688743,27141,165542,141891,70040,80818,354898,35333,45419,23140,108765,8835,0.4675,41.3,319565,4133,20305,50045,40824,13752,12692,27629,32687,22955,20095,6861,647,"Congressional District 5 (112th Congress), Alabama",01,05,Alabama,AL,86.1,0.433,49.05835157,297262.915973428,309937.1691436347,323151.80823078786,103744.75767472637
6,AL-06,24.7,74.3,25,74.1,756153,386214,38.2,58417,618563,99060,13927,2366,1126,1539,97,23646,715362,35071,176798,162139,60283,109104,383422,33906,56151,27764,80393,13680,0.4623,40.5,349516,4426,24229,32469,37081,15553,33915,33400,48748,16294,15503,9065,855,"Congressional District 6 (112th Congress), Alabama",01,06,Alabama,AL,89.1,0.433,49.05835157,314342.796260745,329849.0067125406,346120.12275605183,77642.670676404
7,AL-07,72.4,27.1,71.5,28.1,605148,323908,34.6,37835,209603,381777,4724,873,206,394,41,12742,585812,17008,141330,80574,75283,39945,265546,41875,30358,16759,170971,2201,0.4888,38.3,223671,4352,12269,23697,24745,12982,12445,23838,37174,20113,12027,3304,665,"Congressional District 7 (112th Congress), Alabama",01,07,Alabama,AL,84.7,0.433,49.05835157,315244.376299443,293230.9671365144,272754.7469590419,228236.92844079676
8,AR-01,36.3,61,39.2,58,689463,349304,38.7,60391,553463,115828,3581,2158,102,373,15,15951,675925,10433,167321,129531,84909,47133,299405,34469,34977,19160,145229,2884,0.4594,40.3,264936,16151,15897,39061,33703,15720,10394,24216,38679,14546,13011,2867,586,"Congressional District 1 (112th Congress), Arkansas",05,01,Arkansas,AR,82.7,0.379,49.05835157,253459.950915971,260717.1749188954,268182.19230313424,92005.96218249747
9,AR-02,42.9,54.7,44.3,53.8,761152,389020,36.5,60715,557714,162731,9698,2537,331,1990,229,30917,725514,30196,181151,140357,65183,86422,377559,33387,44884,24204,120562,6476,0.4603,39.0,344172,6482,20775,27087,47624,20760,23311,31027,56282,20553,21514,11114,712,"Congressional District 2 (112th Congress), Arkansas",05,02,Arkansas,AR,84.5,0.379,49.05835157,292515.0,306974.0,322147.7075568774,125488.935
