,CD_ID,P_Democrat,P_Republican,Pop,Females,Median_Age,Veterans,White_People,Afr_Am_People,Asian,American_Ind_Alk_Ntv,Cuban_Origin,Puerto_Rican_Origin,Dominican_Origin,Mexican_Origin,Native_US,Foreign_Born,Children,Married_Households,Less_Highschool,Bachelor_Holders,Labor_Force_Eligible,Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Workers,Working_Agricult,Working_Construction,Working_Manufacturing,Working_Retail,Working_Transportation,Working_Finance,Working_Education,Working_Health,Working_Food,Working_Public_Admin,Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State_Full,State,Health_insurance_coverage,Turn_Out,Approval_Rate_Predecessor,Vote_2012,Vote_2016,Vote_2020
0,AK-AL,37.6,52.8,737438,354486,34.9,67635,474555,25197,46381,111371,1870,8156,1915,28656,661648,60784,183460,127824,32444,89635,358331,159,74346,33262,78620,22401,0.4322,38.5,345769,15884,19458,15461,37178,28154,11023,31445,50966,27750,41942,7578,1177,"Congressional District (at Large) (116th Congress), Alaska",02,AL,Alaska,AK,87.4,0.5462278473,39.36666667,297625.0,309407.0,321655.41083242337
1,AL-01,34.1,63.5,715346,370803,40.3,51744,479949,196891,10627,6992,397,4962,198,11214,689039,21390,162429,122681,63961,79243,316585,4520,46445,25963,118962,9860,0.4824,40.6,302309,4153,25950,33025,37956,16737,16862,23885,41706,23602,12421,4357,844,"Congressional District 1 (116th Congress), Alabama",01,01,Alabama,AL,87.7,0.4728939754,39.36666667,298837.066990987,303477.8817709956,308190.76646535326
2,AL-02,33,64.9,678122,351776,38.8,51625,426674,217977,7442,2838,1095,5686,53,13679,651408,18597,153312,114856,65876,65914,293922,338,48290,24810,118296,7590,0.4763,39.5,277754,4908,17144,33140,31316,18090,12027,25004,37254,21527,23523,2638,778,"Congressional District 2 (116th Congress), Alabama",01,02,Alabama,AL,89.5,0.4728939754,39.36666667,289863.723675039,285663.5278349748,281524.19385396363
3,AL-03,32.3,65.3,708409,362468,39.2,51572,490987,183949,13049,1300,658,6372,185,10892,680867,19419,154016,127172,69340,61435,312404,388,45832,24200,124289,8563,0.4923,39.1,294766,3688,19292,48522,31681,16439,14590,31793,35172,19652,16096,4607,765,"Congressional District 3 (116th Congress), Alabama",01,03,Alabama,AL,90.7,0.4728939754,39.36666667,280127.856653036,288775.5709679925,297690.2453909746
4,AL-04,17.4,80.4,686297,349948,40.5,39104,591084,51171,3072,4391,717,1874,541,26115,658759,23662,155507,136731,80496,51598,300196,76,45387,23867,119113,7590,0.4792,39.7,286219,5545,23356,57857,31355,17608,10032,22654,37771,17107,10988,4427,657,"Congressional District 4 (116th Congress), Alabama",01,04,Alabama,AL,89.7,0.4728939754,39.36666667,274505.264147322,290725.8764333476,307904.9703854747
5,AL-05,31.3,64.7,725634,366606,39.5,55771,539903,130913,12215,3123,503,4126,68,28013,685291,30190,158018,149641,56485,108527,348943,16,57174,29419,91640,14954,0.4658,40.1,335078,2580,21162,53436,38862,14636,12735,27574,41952,21368,22821,4911,766,"Congressional District 5 (116th Congress), Alabama",01,05,Alabama,AL,91.3,0.4728939754,39.36666667,297262.915973428,309937.1691436347,323151.80823078786
6,AL-06,26.1,70.8,713595,366953,40.0,41059,556700,109254,13683,1512,980,2063,76,21754,674515,31795,161036,148047,44558,113361,345929,58,66835,34484,71723,21151,0.4667,41.0,333425,3797,24738,31868,34896,19283,33190,27975,45789,20420,11135,5970,969,"Congressional District 6 (116th Congress), Alabama",01,06,Alabama,AL,92.5,0.4728939754,39.36666667,314342.796260745,329849.0067125406,346120.12275605183
7,AL-07,69.8,28.6,660468,350046,36.4,33737,221541,416885,5007,1907,593,1739,235,16171,639523,17514,144787,80099,67463,56008,286876,644,37123,20682,156399,4564,0.4965,36.8,264720,3108,16363,37191,26940,15892,12300,26086,42224,25201,13541,4128,794,"Congressional District 7 (116th Congress), Alabama",01,07,Alabama,AL,88.3,0.4728939754,39.36666667,315244.376299443,293230.9671365144,272754.7469590419
8,AR-01,30.2,65,724622,364754,39.5,46513,561702,122626,2796,2554,350,1074,0,19567,707638,12579,167447,131712,73042,55491,310975,247,41553,22946,135862,5467,0.4610,39.4,294461,15471,21449,39735,36166,15810,11724,30125,48702,16561,13609,2995,665,"Congressional District 1 (116th Congress), Arkansas",05,01,Arkansas,AR,91.9,0.413820404,39.36666667,253459.950915971,260717.1749188954,268182.19230313424
9,AR-02,41.7,52.4,765124,395663,37.7,48963,540548,174846,13008,4030,137,924,0,25960,728478,31847,176055,135467,53397,92656,368552,134,50381,28405,120374,15117,0.4911,39.0,355971,3841,19645,33250,42077,19587,19397,28526,69727,27899,19628,7935,799,"Congressional District 2 (116th Congress), Arkansas",05,02,Arkansas,AR,93.2,0.413820404,39.36666667,292515.0,306974.0,322147.7075568774
